"No.","Time","Source","Destination","Protocol","Length","Info"
"262","2.377474000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"263","2.385098000","fe80::8616:f9ff:fe55:3de3","ff02::1:2","DHCPv6","128","Solicit XID: 0x3f3b4d CID: 0001000123580d598416f9553de3 "
"264","2.386463000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"265","2.396488000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"266","2.405412000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"267","2.414351000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"268","2.416917000","fe80::1262:ebff:fe20:1861","ff02::1","ICMPv6","78","Router Advertisement from 10:62:eb:20:18:61"
"269","2.416951000","192.168.112.3","224.0.0.251","MDNS","78","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"270","2.416982000","fe80::e970:fc58:8660:73c9","ff02::fb","MDNS","98","Standard query 0x0000  PTR _privet._tcp.local, ""QM"" question"
"271","2.423653000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"272","2.433380000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"273","2.442304000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"274","2.451226000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"275","2.455968000","fe80::70d0:ef48:a386:aded","ff02::2","ICMPv6","62","Router Solicitation"
"276","2.460231000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"277","2.462930000","fe80::334e:e0e4:45ec:563d","ff02::fb","MDNS","225","Standard query response 0x0000  PTR, cache flush mangala-Inspiron-15-7000-Gaming.local AAAA, cache flush fe80::334e:e0e4:45ec:563d"
"278","2.469175000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"279","2.478114000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"280","2.487049000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"281","2.496012000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"282","2.504040000","fe80::726d:ecff:fe02:130","ff02::1:ff02:130","ICMPv6","86","Multicast Listener Report"
"283","2.504936000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"284","2.513873000","192.168.1.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"285","2.522822000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
"286","2.531765000","192.168.0.1","224.0.0.252","IGMPv2","68","Membership Query, specific for group 224.0.0.252"
